"","unit_id","isp","technology","advertised.down","advertised.up","tz.offset","tz.offset.dst","state","region","medianUp","medianDown","medianLatency","medianJitterUp","medianJitterDown","medianLossUp","medianLossDown","medianLoss"
"1070",7611,"CenturyLink","DSL",12,0.896,-6,-5,"MN","MIDWEST",101561.5,1616308,34894,1526,884,1,1,0
"1071",7613,"Comcast","CABLE",105,10,-5,-4,"MA","NORTHEAST",1479874.5,14245119,31059,2144,894,1,1,0
"1072",7621,"Cox","CABLE",50,5,-6,-5,"AZ","WEST",653889.5,6921177,21349,1727,850,1,1,0
"1073",7628,"Verizon","FIBER",50,50,-6,-5,"TX","SOUTH",4858706.5,7245750.5,11409.5,2121.5,1781,0.843,1,0.0516916916916917
"1074",7636,"Comcast","CABLE",25,5,-6,-5,"IL","MIDWEST",742935.5,3721688.5,11587.5,1992,787,1,1,0
"1075",7637,"Comcast","CABLE",50,10,-7,-6,"NM","WEST",1489635,7348730.5,30518,2471,796,1,1,0
"1076",7641,"Time Warner Cable","CABLE",15,1,-5,-4,"NC","SOUTH",132236.5,2006969.5,27672,3905,923,1,1,0
"1077",7643,"Comcast","CABLE",25,5,-6,-5,"IL","MIDWEST",742288.5,3721680,9376.5,1353,768,1,1,0
"1078",7646,"Time Warner Cable","CABLE",15,1,-5,-4,"FL","SOUTH",132445,2010885.5,18929,2942,821,1,1,0
"1079",7647,"Verizon","FIBER",75,75,-5,-4,"MD","SOUTH",10738450,10425655.5,12396,1564,1829,1,1,0
"1080",7649,"AT&T","DSL",6,0.512,-5,-4,"FL","SOUTH",54953,713483,46906,1774,807,1,1,0
"1081",7653,"Time Warner Cable","CABLE",15,1,-10,-10,"HI","WEST",131584.5,1977901,67827,6376,976,1,1,0
"1082",7657,"Comcast","CABLE",105,10,-8,-7,"TX","SOUTH",1487290.5,12754772.5,13199.5,2038,825,1,1,0
"1083",7663,"Time Warner Cable","CABLE",15,1,-5,-4,"NC","SOUTH",131434.5,2010417.5,28312.5,4225.5,877,1,1,0
"1084",7664,"Comcast","CABLE",25,5,-6,-5,"MN","MIDWEST",743100.5,3674494,18240.5,1589.5,779,1,1,0
"1085",7667,"Cox","CABLE",50,5,-6,-5,"KS","MIDWEST",653046,6662484.5,26994,1623,807,1,1,0
"1086",7669,"AT&T","DSL",12,1,-8,-7,"CA","WEST",115124,1397842,31358,1720,975,1,1,0
"1087",7674,"CenturyLink","DSL",7,0.896,-7,-7,"AZ","WEST",92499,757478,55172,1321,886,1,1,0
"1088",7676,"Charter","CABLE",30,4,-6,-5,"TN","SOUTH",525652.5,4010623,39004,1932,916,1,1,0
"1089",7679,"Time Warner Cable","CABLE",7,1,-10,-10,"HI","WEST",132283,937676,68542.5,4115,861,1,1,0
"1090",7680,"Time Warner Cable","CABLE",20,2,-8,-7,"ID","WEST",292787,2816260.5,34070,2769,918,1,1,0
"1091",7681,"Time Warner Cable","CABLE",50,5,-6,-5,"TX","SOUTH",703066,7045624.5,27227,2683,875,1,1,0
"1092",7683,"Time Warner Cable","CABLE",15,1,-6,-5,"ME","NORTHEAST",132211,1982695.5,32959,1649.5,941.5,1,1,0
"1093",7689,"Frontier","FIBER",25,25,-6,-5,"IN","MIDWEST",3761859,3168048.5,13527,1188,791,1,1,0
"1094",7696,"Comcast","CABLE",25,5,-6,-5,"IL","MIDWEST",740795,3720551,8968,1594,783,1,1,0
"1095",7702,"Verizon","FIBER",50,50,-6,-5,"MA","NORTHEAST",4819182.5,7245553.5,19865,1531,1904,1,1,0
"1096",7706,"Verizon","FIBER",35,35,-8,-7,"CA","WEST",4910805.5,4436541,14838,1137,798,1,1,0
"1097",7708,"CenturyLink","DSL",10,0.768,-8,-7,"NV","WEST",92520.5,1252986.5,27013,1333,837,1,1,0
"1098",7711,"Charter","CABLE",60,4,-5,-4,"SC","SOUTH",528143.5,8001489.5,27698,3086,793,1,1,0
"1099",7720,"Time Warner Cable","CABLE",15,1,-5,-4,"NC","SOUTH",131715,2002745.5,23094,2867,917,1,1,0
"1100",7721,"Comcast","CABLE",25,5,-6,-5,"NH","NORTHEAST",742567,3659200,17650,2122,842,1,1,0
"1101",7723,"Brighthouse","CABLE",10,1,-5,-4,"FL","SOUTH",141761,1417305,31911,2653,934,1,1,0
"1102",7725,"AT&T","DSL",6,0.512,-5,-4,"KY","SOUTH",57932,712191,48509,1510,834,1,1,0
"1103",7728,"Charter","CABLE",30,4,-5,-4,"CT","NORTHEAST",531229,3894261,19207,3248,846,1,1,0
"1104",7729,"Frontier","DSL",6,0.768,-6,-5,"IL","MIDWEST",45007,720648.5,18479,1505,943,1,1,0
"1105",7731,"AT&T","DSL",18,1.5,-8,-7,"CA","WEST",234669.5,2837185.5,26349.5,1732.5,1369,1,1,0
"1106",7734,"Cox","CABLE",25,5,-6,-5,"LA","SOUTH",654148,3957423,19483,1913.5,850,1,1,0
"1107",7749,"CenturyLink","DSL",12,0.896,-7,-7,"AZ","WEST",93390,1659878.5,33570.5,1512,988,1,1,0
"1108",7750,"Time Warner Cable","CABLE",20,2,-5,-4,"NC","SOUTH",276493,2682579,25741,2671.5,891,1,1,0
"1109",7755,"Charter","CABLE",60,4,-6,-5,"TX","SOUTH",531094.5,7987716.5,11966,2452,794,1,1,0
"1110",7759,"Comcast","CABLE",105,10,-8,-7,"CA","WEST",584648.5,11742994,14292.5,2651.5,897.5,1,1,0
"1111",7761,"Comcast","CABLE",50,10,-6,-5,"IL","MIDWEST",1488900,7445822,11832,1817,794,1,1,0
"1112",7770,"Charter","CABLE",100,5,-8,-7,"CA","WEST",656128.5,12821657.5,32037,3732,814,1,1,0
"1113",7772,"Comcast","CABLE",25,5,-6,-5,"MN","MIDWEST",741503,3648909.5,37063,3444,1325,1,1,0
