"","technology","costBracket","V1","unit_id","isp","advertised.down","advertised.up","tz.offset","tz.offset.dst","state","region","medianUp","medianDown","medianLatency","medianJitterUp","medianJitterDown","medianLossUp","medianLossDown","medianLoss","monthly.charge","sampleFreq","sampleWeight","weight","sampleWeight.normalized","popWeight.normalized"
"2581","CABLE",80,"1626",9528,"Charter",15,3,-6,-5,"MO","MIDWEST",401898.5,1946050,26266.5,3998.5,785,1,1,0,49.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2582","CABLE",80,"1730",9943,"Cablevision",50,25,-5,-4,"CT","NORTHEAST",3572436,7350543,11867,1680.5,836,1,1,0,77.95,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2583","CABLE",80,"1735",9960,"Time Warner Cable",7,0.768,-5,-4,"NY","NORTHEAST",99008,925913,23888,2406,977,1,1,0,49.95,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2584","CABLE",80,"1737",9965,"Brighthouse",60,5,-5,-4,"FL","SOUTH",716532,5672488,28791,2718,917.5,1,1,0,54.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2585","CABLE",80,"1779",10093,"Charter",15,3,-5,-4,"NC","SOUTH",401635.5,1946109,29867,4683,803,1,1,0,54.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2586","CABLE",80,"1894",10506,"Time Warner Cable",7,0.768,-5,-4,"NY","NORTHEAST",98413.5,937572,23339.5,3020,902,1,1,0,49.95,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2587","CABLE",80,"1933",10638,"Charter",15,3,-6,-5,"MO","MIDWEST",399006.5,1945105.5,23695,1470,808,1,1,0,49.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2588","CABLE",80,"1947",10678,"Charter",15,3,-6,-5,"WI","MIDWEST",399745.5,1945894,27245,1608.5,844,1,1,0,48.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2589","CABLE",80,"1950",10688,"Charter",15,3,-6,-5,"MO","MIDWEST",401459.5,2160971.5,37054.5,2083.5,1086,1,1,0,48.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2590","CABLE",80,"1956",10702,"Charter",15,3,-5,-4,"SC","SOUTH",399472.5,1855187,27586,2666.5,835,1,1,0,54.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2591","CABLE",80,"1968",10733,"Charter",15,3,-5,-4,"SC","SOUTH",400918,1964005,24462,2743,855,1,1,0,49.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2592","CABLE",80,"1981",10772,"Cablevision",50,25,-5,-4,"NJ","NORTHEAST",3571592.5,7350653,11906.5,1836,939.5,1,1,0,77.95,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2593","CABLE",80,"1986",10797,"Charter",15,3,-8,-7,"OR","WEST",402152.5,1943916.5,60577,2619,806,1,1,0.10482180293501,48.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2594","CABLE",80,"1991",10815,"Charter",15,3,-6,-5,"WI","MIDWEST",402876.5,1946339,22771,2477.5,780,1,1,0,48.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2595","CABLE",80,"1995",10829,"Charter",15,3,-6,-5,"LA","SOUTH",396989.5,1944665,27018,1824.5,871,1,1,0,54.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2596","CABLE",80,"1999",10842,"Charter",15,3,-5,-4,"NC","SOUTH",401265,1946478,24106,2587,808,1,1,0,48.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2597","CABLE",80,"2001",10846,"Charter",15,3,-6,-5,"LA","SOUTH",397934,1945407.5,29017,1760,917,1,1,0,54.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2598","CABLE",80,"2008",10860,"Brighthouse",30,2,-5,-4,"FL","SOUTH",283420,4217217,28548,2189.5,855.5,1,1,0,54.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2599","CABLE",80,"2010",10865,"Charter",15,3,-8,-7,"CA","WEST",401999.5,2103198.5,16530.5,3039,816,1,1,0,54.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2600","CABLE",80,"2012",10868,"Charter",15,3,-6,-5,"MO","MIDWEST",402507,2132737.5,30193,1580,1059.5,1,1,0,49.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2601","CABLE",80,"2051",11025,"Charter",15,3,-6,-5,"LA","SOUTH",399955.5,1991704,28181,2487,977,1,1,0,54.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2602","CABLE",80,"2053",11030,"Charter",15,3,-8,-7,"WA","WEST",403648,1946298,33771.5,2512,934,1,1,0,54.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2603","CABLE",80,"2054",11031,"Charter",15,3,-8,-7,"CA","WEST",401211.5,1946314,17218,2812.5,782,1,1,0,49.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2604","CABLE",80,"2072",11085,"Cablevision",50,25,-5,-4,"NY","NORTHEAST",3452644.5,7412742.5,14313,4281,900,1,1,0,76.95,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2605","CABLE",80,"2087",11120,"Charter",15,3,-6,-5,"MN","MIDWEST",395611,1958893,25440,1523.5,854,1,1,0,54.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2606","CABLE",80,"2097",11153,"Charter",15,3,-5,-4,"GA","SOUTH",400722,1945960,29037.5,2857,848,1,1,0,49.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2607","CABLE",80,"2100",11171,"Charter",15,3,-6,-5,"TN","SOUTH",401330,1940062,44833,2433,915,1,1,0,49.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2608","CABLE",80,"2128",11260,"Charter",15,3,-6,-5,"MO","MIDWEST",403842,1946158,30040,2533,795,1,1,0,49.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2609","CABLE",80,"2140",11289,"Charter",15,3,-5,-4,"MI","MIDWEST",403350.5,1946297,15007,2508,782,1,1,0,54.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2610","CABLE",80,"2161",11354,"Charter",15,3,-5,-4,"GA","SOUTH",402056.5,1946345,25873.5,3097.5,787.5,1,1,0,54.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
"2611","CABLE",80,"2215",11542,"Charter",15,3,-8,-7,"WA","WEST",398220,1945444.5,29520,1673,840,1,1,0,49.99,2599,0.000320185917264895,0.554572129651277,0.502805184755272,0.278841742109435
